,district_ID,date,disaster_type,location,district_name,province,dead,missing,injured,house_damage,public_facility_damage
587,3201,2021-02-21,landslide,Kec. Dramaga Ds. Babakan Kp. Babakan Doneng,BOGOR,west_java,0.0,0.0,0.0,0,0
588,1307,2021-02-21,forest and land fire,Kec. Tanjung Mutiara Ds. Durian Kapeh Darusalam,AGAM,west_sumatera,0.0,0.0,0.0,0,0
589,3216,2021-02-21,flood,Kec. Pebayuran Ds. Sukaurip Ds. Karang Segar Ds. Bantar Sari Ds. Sumber Urip,BEKASI,west_java,0.0,0.0,0.0,5,0
590,7325,2021-02-21,cyclone,Kec. Malili Ds. Tarabbi,LUWU TIMUR,south_sulawesi,0.0,0.0,0.0,4,0
591,3216,2021-02-20,flood,Kec. Tambun Selatan Kec. Bojongmangu Kec. Cibitung Kec. Setu Kec. Cikarang Selatan Kec. Cikarang Pusat Kec. Cibarusah Kec. Cikarang Utara Kec. Serang Baru Kec. Muaragembong Kec. Sukawangi Kec. Cikarang Timur Kec. Cikarang Barat Kec. Babelan Kec. Sukakarya Kec. Tambun Utara Kec. Kedungwaringin Kec. Pebayuran Kec. Karang Bahagia,BEKASI,west_java,8.0,0.0,266.0,0,0
592,3603,2021-02-20,flood,Kec. Pasar Kemis Kel. Kutajaya Kel. Gelam Jaya Ds. Gemilang Kec. Sepatan Ds. Karet Kec. Cikupa Ds. Bunder Depan Pasar Cikupa  (Jln Raaya Serang) Kec. Kelapa Dua Ds. Curug Sangereng Kel. Bencongan Indah Perum. 3 Karawaci R.S AL QODAR Kec. Sukamulya Ds. Kaliasin Kamp. Kaliasin RT. 04 / 05 Kamp. Sirnagalih RT. 06 / 05 Kec. Curug Ds. Binong,TANGERANG,banten,0.0,0.0,0.0,0,0
593,3276,2021-02-20,flood,Kec. Cimanggis Kel. Tugu Kel. Mekarsari Kec. Sukmajaya Kel. Sukamaju Kel. Baktijaya Kec. Cilodong Kel. Kalibaru Kel. Cilodong,KOTA DEPOK,west_java,0.0,0.0,0.0,0,0
594,3604,2021-02-20,flood,Kec. Lebak Wangi Ds. Tirem Kec. Ciruas Ds. Bumi,SERANG,banten,0.0,0.0,11.0,0,0
595,5206,2021-02-20,flood,Kec. Belo Ds. Ngali Kec. Woha Ds. Rabakodo Kec. Sape Ds. Bugis,BIMA,west_nusa_tenggara,0.0,0.0,0.0,0,0
596,3674,2021-02-20,flood,Kec. Ciptat Timur Kel. Rempoa Kel. Pisangan Kec. Pondok Aren Kel. Pondok Kacang Kel. Pondok Kacang Timur Kel. Jurang Mangu Barat Kel. Jurang Mangu Timur Kec. Serpong Utara Kel. Jelupang Kel. Paku Jaya Kel. Paku Alam Kec. Pamulang Kel. Pamulang Barat Kec. Ciputat Kel. Cipayung Kel. Jombang Kel. Cireundeu Kel. Sawah Kec. Serpong Kel. Lengkong Wetan Kel. Rawa Mekar Jaya Kec. Setu Kel. Babakan,KOTA TANGERANG SELATAN,banten,0.0,0.0,0.0,0,0
597,7108,2021-02-20,high-tide/abrasion,Kec. Siau Timur Selatan Ds. Balirangen,KEPULAUAN SIAU TAGULANDANG BIARO,north_sulawesi,0.0,0.0,0.0,2,1
598,3201,2021-02-20,flood,Kec. Cileungsi Ds. Mekarsari,BOGOR,west_java,0.0,0.0,0.0,0,0
599,3201,2021-02-20,flood,Kec. Cileungsi Ds. Situ Sari,BOGOR,west_java,0.0,0.0,0.0,0,0
600,1103,2021-02-20,forest and land fire,Kec. Trumon Ds. Keude Trumon,ACEH SELATAN,aceh,0.0,0.0,0.0,0,0
601,3604,2021-02-20,cyclone,Kec. Ciruas Ds. Bumi Jaya,SERANG,banten,0.0,0.0,0.0,38,1
